CustomerID,Probability
7590-VHVEG,65.68
5575-GNVDE,4.61
3668-QPYBK,28.42
7795-CFOCW,3.11
9237-HQITU,69.53
9305-CDSKC,77.88
1452-KIOVK,44.39
6713-OKOMC,30.39
7892-POOKP,59.78
6388-TABGU,1.16
9763-GRSKD,20.83
7469-LKBCI,4.4
8091-TTVAX,17.84
0280-XJGEX,38.34
5129-JLPIS,41.59
3655-SNQYZ,4.82
8191-XWSZG,0.99
9959-WOFKT,6.36
4190-MFLUW,18.51
4183-MYFRB,55.54
8779-QRDMV,74.9
1680-VDCWW,7.91
1066-JKSGK,19.57
3638-WEABW,2.48
6322-HRPFA,2.46
6865-JZNKO,11.55
6467-CHFZW,45.97
8665-UTDHZ,52.72
5248-YGIJN,2.16
8773-HHUOZ,35.83
3841-NFECX,4.09
4929-XIHVW,72.69
6827-IEAUQ,3.66
7310-EGVHZ,20.41
3413-BMNZE,41.47
6234-RAAPL,3.03
6047-YHPVI,65.61
6572-ADKRS,23.01
5380-WJKOV,57.44
8168-UQWWF,69.82
8865-TNMNX,13.85
9489-DEDVP,1.73
9867-JCZSP,5.48
4671-VJLCL,1.81
4080-IIARD,30.45
3714-NTNFO,41.68
5948-UJZLF,30.97
7760-OYPDY,72.61
7639-LIAYI,4.33
2954-PIBKO,1.01
8012-SOUDQ,46.99
9420-LOJKX,45.14
6575-SUVOI,20.72
7495-OOKFY,62.6
4667-QONEA,2.37
1658-BYGOY,75.49
8769-KKTPH,13.88
5067-XJQFU,18.84
3957-SQXML,2.27
5954-BDFSG,10.97
0434-CSFON,54.36
1215-FIGMP,23.32
0526-SXDJP,0.91
0557-ASKVU,11.2
5698-BQJOH,71.86
5122-CYFXA,48.45
8627-ZYGSZ,21.59
3410-YOQBQ,6.53
3170-NMYVV,0.77
7410-OIEDU,41.06
2273-QCKXA,27.37
0731-EBJQB,1.82
1891-QRQSA,9.94
8028-PNXHQ,0.75
5630-AHZIL,27.12
2673-CXQEU,20.28
6416-JNVRK,6.23
5590-ZSKRV,17.65
0191-ZHSKZ,26.49
3887-PBQAO,2.43
5919-TMRGD,69.96
8108-UXRQN,46.79
9191-MYQKX,57.95
9919-YLNNG,29.55
0318-ZOPWS,1.35
4445-ZJNMU,65.78
4808-YNLEU,9.17
1862-QRWPE,0.9
2796-NNUFI,1.28
3016-KSVCP,24.76
4767-HZZHQ,24.18
2424-WVHPL,56.21
7233-PAHHL,2.62
6067-NGCEU,21.77
9848-JQJTX,12.09
8637-XJIVR,56.27
9803-FTJCG,1.16
0278-YXOOG,16.57
3212-KXOCR,0.76
4598-XLKNJ,63.7
6380-ARCEH,19.57
3679-XASPY,25.14
7123-WQUHX,16.61
5386-THSLQ,3.86
3192-NQECA,11.56
6180-YBIQI,45.14
6728-DKUCO,13.5
9750-BOOHV,7.6
8597-CWYHH,23.96
2848-YXSMW,0.22
0486-HECZI,26.52
4549-ZDQYY,1.58
5712-AHQNN,36.52
4846-WHAFZ,51.33
5256-SKJGO,4.48
3071-VBYPO,45.78
9560-BBZXK,5.19
5299-RULOA,67.21
8402-OOOHJ,1.33
9445-ZUEQE,27.99
1091-SOZGA,22.29
2928-HLDBA,16.43
0404-SWRVG,72.69
6497-TILVL,20.9
7219-TLZHO,16.47
4622-YNKIJ,14.57
4412-YLTKF,57.3
6734-PSBAW,0.54
3930-ZGWVE,19.55
2639-UGMAZ,5.53
2876-GZYZC,72.86
6207-WIOLX,27.18
8587-XYZSF,0.91
3091-FYHKI,72.65
2372-HWUHI,43.91
7799-LGRDP,2.24
7850-VWJUU,33.09
3774-VBNXY,0.36
6217-KDYWC,0.65
0390-DCFDQ,67.31
3146-MSEGF,2.3
4080-OGPJL,31.84
1095-WGNGG,16.98
2636-SJDOU,6.19
1131-QQZEB,0.49
5716-EZXZN,4.55
6837-BJYDQ,10.99
2135-RXIHG,53.34
6440-DKQGE,7.17
3466-BYAVD,22.2
3780-YVMFA,45.54
3874-EQOEP,63.97
1679-JRFBR,11.78
9073-ZZIAY,1.98
3077-RSNTJ,15.08
6551-GNYDG,56.16
9167-APMXZ,55.24
2749-CTKAJ,3.96
6371-NZYEG,7.76
7554-NEWDD,8.08
8992-VONJD,24.79
0867-MKZVY,43.2
4482-EWFMI,69.37
4648-YPBTM,4.31
2907-ILJBN,7.22
6345-FZOQH,0.31
3376-BMGFE,60.4
5997-OPVFA,2.23
3445-HXXGF,17.0
1159-WFSGR,13.33
7654-YWJUF,8.49
1875-QIVME,75.07
6727-IOTLZ,11.64
0691-JVSYA,22.65
5918-VUKWP,2.93
1744-JHKYS,8.47
2656-FMOKZ,59.66
2070-FNEXE,42.76
5947-SGKCL,61.26
3712-PKXZA,0.87
6317-YPKDH,48.36
6582-OIVSP,37.28
9367-WXLCH,60.28
5524-KHNJP,7.38
1918-ZBFQJ,55.38
1024-GUALD,69.71
4827-USJHP,22.33
8167-GJLRN,47.23
